ann_id,image_id,file_name,orientation,face_visible,num_keypoints,area,bbox_h,gt_shoulder_sign,pose_model,box_source,detector,n_person_det,top1_score,top1_iou,best_iou,best_rank,pose_oks_raw,pose_oks_corrected,pose_pck02_corrected,pose_n_scored,pose_chirality_swapped,pose_chirality_margin,pose_n_chir,pose_pred_shoulder_sign,pose_conf_mean
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,body7_official,gt_box,gt_box,,,1.0,1.0,0,0.9501148529179155,0.9501148529179155,1.0,12,0,-0.4180570476553921,10,1,0.6818635919514824
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,body7_official,rtmdet_ins_tiny,rtmdet_ins_tiny,22,0.6837,0.9161,0.9161,0,0.9540424736819357,0.9540424736819357,1.0,12,0,-0.42394726379244707,10,1,0.6949488240129807
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,body7_self,gt_box,gt_box,,,1.0,1.0,0,0.9501148529179155,0.9501148529179155,1.0,12,0,-0.4180570476553921,10,1,0.6818636585684383
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,body7_self,rtmdet_ins_tiny,rtmdet_ins_tiny,22,0.6837,0.9161,0.9161,0,0.9540424736819357,0.9540424736819357,1.0,12,0,-0.42394726379244707,10,1,0.694948813494514
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,aic_coco_self,gt_box,gt_box,,,1.0,1.0,0,0.9566746407354095,0.9566746407354095,1.0,12,0,-0.42260345853349107,10,1,0.707557432791766
183352,565853,000000565853.jpg,REAR,0,14,11687.6,232.6,1,aic_coco_self,rtmdet_ins_tiny,rtmdet_ins_tiny,22,0.6837,0.9161,0.9161,0,0.967630256547441,0.967630256547441,1.0,12,0,-0.4252267055169022,10,1,0.736519175417283
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,body7_official,gt_box,gt_box,,,1.0,1.0,0,0.8735398525123979,0.8735398525123979,1.0,10,0,-0.23400074824845846,8,1,0.49950285606524525
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,body7_official,rtmdet_ins_tiny,rtmdet_ins_tiny,58,0.6865,0.0398,0.9674,3,0.015606960437978597,0.1503462097823783,0.1,10,1,0.0017952165183318103,8,1,0.6227717943051282
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,body7_self,gt_box,gt_box,,,1.0,1.0,0,0.8735398525123979,0.8735398525123979,1.0,10,0,-0.23400074824845846,8,1,0.49950285869486194
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,body7_self,rtmdet_ins_tiny,rtmdet_ins_tiny,58,0.6865,0.0398,0.9674,3,0.015606960437978597,0.1503462097823783,0.1,10,1,0.0017952165183318103,8,1,0.6227717101573944
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,aic_coco_self,gt_box,gt_box,,,1.0,1.0,0,0.8519338728973619,0.8519338728973619,0.9,10,0,-0.18439004217480018,8,1,0.47179390402401195
183695,353180,000000353180.jpg,REAR,0,10,8473.4,209.4,1,aic_coco_self,rtmdet_ins_tiny,rtmdet_ins_tiny,58,0.6865,0.0398,0.9674,3,0.016424796430262085,0.1635763859945026,0.1,10,1,0.0039074194747316104,8,1,0.6074783819563249
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,body7_official,gt_box,gt_box,,,1.0,1.0,0,0.9644643553441488,0.9644643553441488,1.0,17,0,-0.31508006925155074,12,-1,0.9049606112872853
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,body7_official,rtmdet_ins_tiny,rtmdet_ins_tiny,4,0.8528,0.9607,0.9607,0,0.9736254029306324,0.9736254029306324,1.0,17,0,-0.3152653531717231,12,-1,0.9099077652482426
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,body7_self,gt_box,gt_box,,,1.0,1.0,0,0.9644643553441488,0.9644643553441488,1.0,17,0,-0.31508006925155074,12,-1,0.9049605797318852
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,body7_self,rtmdet_ins_tiny,rtmdet_ins_tiny,4,0.8528,0.9607,0.9607,0,0.9736254029306324,0.9736254029306324,1.0,17,0,-0.3152653531717231,12,-1,0.9099078038159538
184031,250127,000000250127.jpg,FRONT,3,17,37455.4,422.8,-1,aic_coco_self,gt_box,gt_box,,,1.0,1.0,0,0.9734939675423976,0.9734939675423976,1.0,17,0,-0.30813243220349784,12,-1,0.899988731917213
