ann_id,image_id,file_name,orientation,face_visible,ears_visible,num_keypoints,area,bbox_h,gt_shoulder_sign,engine,detected,oks_raw,oks_corrected,pck02_raw,pck02_corrected,n_scored,d_identity,d_swapped,n_chir,chirality_swapped,chirality_margin,pred_shoulder_sign,shoulder_sign_correct,swap_shoulders,swap_hips,swap_arms,swap_legs,n_groups_decided,n_groups_swapped,conf_nose,conf_eyes,conf_shoulders,conf_mean,presence_nose,presence_mean
183125,185250,000000185250.jpg,FRONT,3,2,17,15247.6,291.4,-1,blazepose_heavy,1,0.956581,0.956581,1.000000,1.000000,15,0.038257,0.517537,8,0,-0.479280,-1,1,0,0,0,,3,0,0.999952,0.999878,0.999992,0.916449,0.999977,0.999913
183125,185250,000000185250.jpg,FRONT,3,2,17,15247.6,291.4,-1,blazepose_full,1,0.969162,0.969162,1.000000,1.000000,15,0.041964,0.519852,8,0,-0.477888,-1,1,0,0,0,,3,0,0.999956,0.999850,0.999972,0.930025,0.999526,0.997549
183125,185250,000000185250.jpg,FRONT,3,2,17,15247.6,291.4,-1,movenet_thunder,1,0.965922,0.965922,1.000000,1.000000,15,0.045089,0.524081,8,0,-0.478991,-1,1,0,0,0,,3,0,0.501664,0.564656,0.715313,0.635737,nan,
183125,185250,000000185250.jpg,FRONT,3,2,17,15247.6,291.4,-1,rtmpose_m,1,0.987163,0.987163,1.000000,1.000000,15,0.023396,0.517350,8,0,-0.493954,-1,1,0,0,0,,3,0,1.075480,1.098447,0.917852,0.920239,nan,
183301,549390,000000549390.jpg,OBLIQUE,2,1,15,23976.6,294.1,-1,blazepose_heavy,1,0.916044,0.916044,1.000000,1.000000,15,0.033347,0.235996,12,0,-0.202649,-1,1,0,0,0,0,4,0,1.000000,0.999999,0.999986,0.914942,1.000000,0.999968
183301,549390,000000549390.jpg,OBLIQUE,2,1,15,23976.6,294.1,-1,blazepose_full,1,0.888159,0.888159,1.000000,1.000000,15,0.049030,0.249386,12,0,-0.200357,-1,1,0,0,0,0,4,0,0.999946,0.999900,0.999915,0.964702,0.999929,0.999802
183301,549390,000000549390.jpg,OBLIQUE,2,1,15,23976.6,294.1,-1,movenet_thunder,1,0.937216,0.937216,1.000000,1.000000,15,0.052520,0.238170,12,0,-0.185650,-1,1,0,0,0,0,4,0,0.651771,0.495168,0.676579,0.585596,nan,
183301,549390,000000549390.jpg,OBLIQUE,2,1,15,23976.6,294.1,-1,rtmpose_m,1,0.978638,0.978638,1.000000,1.000000,15,0.033710,0.250300,12,0,-0.216590,-1,1,0,0,0,0,4,0,0.984431,0.965226,0.813206,0.829826,nan,
183349,7281,000000007281.jpg,FRONT,3,0,15,4698.5,166.4,-1,blazepose_heavy,1,0.000005,0.000005,0.000000,0.000000,13,1.172623,1.200449,8,0,-0.027826,-1,1,1,1,0,1,4,3,0.999178,0.997663,0.998844,0.832344,0.999776,0.987873
183349,7281,000000007281.jpg,FRONT,3,0,15,4698.5,166.4,-1,blazepose_full,1,0.000010,0.000010,0.000000,0.000000,13,1.172686,1.204046,8,0,-0.031360,-1,1,1,1,0,1,4,3,0.999949,0.999851,0.999612,0.917947,0.999826,0.946891
